Id,SalePrice
1461,114070.0
1462,161491.0
1463,179541.0
1464,191990.0
1465,192069.0
1466,167805.0
1467,182135.0
1468,159784.0
1469,185959.0
1470,121906.0
1471,188068.0
1472,98179.0
1473,97427.0
1474,145720.0
1475,115897.0
1476,363146.0
1477,246208.0
1478,279329.0
1479,278029.0
1480,499176.0
1481,322583.0
1482,206274.0
1483,177209.0
1484,158472.0
1485,188796.0
1486,194740.0
1487,321330.0
1488,235378.0
1489,192611.0
1490,239482.0
1491,194122.0
1492,93243.0
1493,182078.0
1494,295693.0
1495,282810.0
1496,238439.0
1497,180141.0
1498,165721.0
1499,162725.0
1500,156659.0
1501,174436.0
1502,144117.0
1503,286561.0
1504,240685.0
1505,227101.0
1506,187059.0
1507,238294.0
1508,195344.0
1509,159122.0
1510,150306.0
1511,154056.0
1512,174710.0
1513,147255.0
1514,145202.0
1515,191930.0
1516,155978.0
1517,170829.0
1518,128529.0
1519,209127.0
1520,131177.0
1521,134222.0
1522,179199.0
1523,110780.0
1524,124079.0
1525,121818.0
1526,106515.0
1527,107352.0
1528,136663.0
1529,145440.0
1530,195291.0
1531,107084.0
1532,89681.0
1533,155520.0
1534,116890.0
1535,149111.0
1536,111175.0
1537,55431.0
1538,149378.0
1539,193546.0
1540,99853.0
1541,142658.0
1542,144487.0
1543,197460.0
1544,81782.0
1545,115065.0
1546,141860.0
1547,130550.0
1548,133070.0
1549,115262.0
1550,139106.0
1551,104043.0
1552,140228.0
1553,143631.0
1554,123529.0
1555,162821.0
1556,84761.0
1557,113307.0
1558,104111.0
1559,67660.0
1560,138216.0
1561,121328.0
1562,130271.0
1563,119311.0
1564,151822.0
1565,148280.0
1566,246846.0
1567,75636.0
1568,235188.0
1569,136453.0
1570,140363.0
1571,104924.0
1572,146549.0
1573,229080.0
1574,121660.0
1575,236440.0
1576,262700.0
1577,175276.0
1578,152738.0
1579,138283.0
1580,190783.0
1581,171098.0
1582,124506.0
1583,288007.0
1584,220692.0
1585,136749.0
1586,63172.0
1587,101748.0
1588,155975.0
1589,86916.0
1590,129460.0
1591,94658.0
1592,115201.0
1593,118523.0
1594,134055.0
1595,104857.0
1596,233351.0
1597,201895.0
1598,227296.0
1599,169343.0
1600,154683.0
1601,63911.0
1602,115323.0
1603,74705.0
1604,263325.0
1605,233853.0
1606,171179.0
1607,174808.0
1608,205748.0
1609,177887.0
1610,146953.0
1611,141709.0
1612,167529.0
1613,161733.0
1614,122817.0
1615,87048.0
1616,76721.0
1617,89710.0
1618,127828.0
1619,144807.0
1620,154607.0
1621,131798.0
1622,138710.0
1623,266385.0
1624,217613.0
1625,114390.0
1626,172907.0
1627,192148.0
